,Day_Type,Date,Building,Type
0,-2,1/1/2018,B101,-1
1,-2,1/2/2018,B101,-1
2,3,1/3/2018,B101,-1
3,4,1/4/2018,B101,-1
4,5,1/5/2018,B101,-1
5,-1,1/6/2018,B101,-1
6,-1,1/7/2018,B101,-1
7,1,1/8/2018,B101,-1
8,2,1/9/2018,B101,-1
9,3,1/10/2018,B101,-1
10,4,1/11/2018,B101,-1
11,5,1/12/2018,B101,-1
12,-1,1/13/2018,B101,-1
13,-1,1/14/2018,B101,-1
14,-2,1/15/2018,B101,-1
15,2,1/16/2018,B101,-1
16,3,1/17/2018,B101,-1
17,4,1/18/2018,B101,-1
18,5,1/19/2018,B101,-1
19,-1,1/20/2018,B101,-1
20,-1,1/21/2018,B101,-1
21,1,1/22/2018,B101,-1
22,2,1/23/2018,B101,-1
23,3,1/24/2018,B101,-1
24,4,1/25/2018,B101,-1
25,5,1/26/2018,B101,-1
26,-1,1/27/2018,B101,-1
27,-1,1/28/2018,B101,-1
28,1,1/29/2018,B101,-1
29,2,1/30/2018,B101,-1
30,4,2/1/2018,B101,-1
31,5,2/2/2018,B101,-1
32,-1,2/3/2018,B101,-1
33,-1,2/4/2018,B101,-1
34,1,2/5/2018,B101,-1
35,2,2/6/2018,B101,-1
36,3,2/7/2018,B101,-1
37,4,2/8/2018,B101,-1
38,5,2/9/2018,B101,-1
39,-1,2/10/2018,B101,-1
40,-1,2/11/2018,B101,-1
41,1,2/12/2018,B101,-1
42,2,2/13/2018,B101,-1
43,3,2/14/2018,B101,-1
44,4,2/15/2018,B101,-1
45,5,2/16/2018,B101,-1
46,-1,2/17/2018,B101,-1
47,-1,2/18/2018,B101,-1
48,1,2/19/2018,B101,-1
49,2,2/20/2018,B101,-1
50,3,2/21/2018,B101,-1
51,4,2/22/2018,B101,-1
52,5,2/23/2018,B101,-1
53,-1,2/24/2018,B101,-1
54,-1,2/25/2018,B101,-1
55,1,2/26/2018,B101,-1
56,2,2/27/2018,B101,-1
57,4,3/1/2018,B101,-1
58,5,3/2/2018,B101,-1
59,-1,3/3/2018,B101,-1
60,-1,3/4/2018,B101,-1
61,1,3/5/2018,B101,-1
62,2,3/6/2018,B101,-1
63,3,3/7/2018,B101,-1
64,4,3/8/2018,B101,-1
65,5,3/9/2018,B101,-1
66,-1,3/10/2018,B101,-1
67,-1,3/10/2018,B101,-1
68,1,3/12/2018,B101,-1
69,2,3/13/2018,B101,-1
70,3,3/14/2018,B101,-1
71,4,3/15/2018,B101,-1
72,5,3/16/2018,B101,-1
73,-1,3/17/2018,B101,-1
74,-1,3/18/2018,B101,-1
75,-2,3/19/2018,B101,-1
76,-2,3/20/2018,B101,-1
77,-2,3/21/2018,B101,-1
78,-2,3/22/2018,B101,-1
79,-2,3/23/2018,B101,-1
80,-1,3/24/2018,B101,-1
81,-1,3/25/2018,B101,-1
82,1,3/26/2018,B101,-1
83,2,3/27/2018,B101,-1
84,3,3/28/2018,B101,-1
85,4,3/29/2018,B101,-1
86,5,3/30/2018,B101,-1
87,-1,4/1/2018,B101,-1
88,1,4/2/2018,B101,-1
89,2,4/3/2018,B101,-1
90,3,4/4/2018,B101,-1
91,4,4/5/2018,B101,-1
92,5,4/6/2018,B101,-1
93,-1,4/7/2018,B101,-1
94,-1,4/8/2018,B101,-1
95,1,4/9/2018,B101,-1
96,2,4/10/2018,B101,-1
97,3,4/11/2018,B101,-1
98,4,4/12/2018,B101,-1
99,5,4/13/2018,B101,-1
100,-1,4/14/2018,B101,-1
101,-1,4/15/2018,B101,-1
102,1,4/16/2018,B101,-1
103,2,4/17/2018,B101,-1
104,3,4/18/2018,B101,-1
105,4,4/19/2018,B101,-1
106,5,4/20/2018,B101,-1
107,-1,4/21/2018,B101,-1
108,-1,4/22/2018,B101,-1
109,1,4/23/2018,B101,-1
110,2,4/24/2018,B101,-1
111,3,4/25/2018,B101,-1
112,4,4/26/2018,B101,-1
113,5,4/27/2018,B101,-1
114,-1,4/28/2018,B101,-1
115,-1,4/29/2018,B101,-1
116,2,5/1/2018,B101,-1
117,3,5/2/2018,B101,-1
118,4,5/3/2018,B101,-1
119,5,5/4/2018,B101,-1
120,-1,5/5/2018,B101,-1
121,-1,5/6/2018,B101,-1
122,1,5/7/2018,B101,-1
123,2,5/8/2018,B101,-1
124,3,5/9/2018,B101,-1
125,4,5/10/2018,B101,-1
126,5,5/11/2018,B101,-1
127,-1,5/12/2018,B101,-1
128,-1,5/13/2018,B101,-1
129,1,5/14/2018,B101,-1
130,2,5/15/2018,B101,-1
131,3,5/16/2018,B101,-1
132,4,5/17/2018,B101,-1
133,5,5/18/2018,B101,-1
134,-1,5/19/2018,B101,-1
135,-1,5/20/2018,B101,-1
136,1,5/21/2018,B101,-1
137,2,5/22/2018,B101,-1
138,3,5/23/2018,B101,-1
139,4,5/24/2018,B101,-1
140,5,5/25/2018,B101,-1
141,-1,5/26/2018,B101,-1
142,-1,5/27/2018,B101,-1
143,-2,5/28/2018,B101,-1
144,2,5/29/2018,B101,-1
145,3,5/30/2018,B101,-1
146,5,6/1/2018,B101,-1
147,-1,6/2/2018,B101,-1
148,-1,6/3/2018,B101,-1
149,1,6/4/2018,B101,-1
150,2,6/5/2018,B101,-1
151,3,6/6/2018,B101,-1
152,4,6/7/2018,B101,-1
153,5,6/8/2018,B101,-1
154,-1,6/9/2018,B101,-1
155,-1,6/10/2018,B101,-1
156,1,6/11/2018,B101,-1
157,2,6/12/2018,B101,-1
158,3,6/13/2018,B101,-1
159,4,6/14/2018,B101,-1
160,5,6/15/2018,B101,-1
161,-1,6/16/2018,B101,-1
162,-1,6/17/2018,B101,-1
163,1,6/18/2018,B101,-1
164,2,6/19/2018,B101,-1
165,3,6/20/2018,B101,-1
166,4,6/21/2018,B101,-1
167,5,6/22/2018,B101,-1
168,-1,6/23/2018,B101,-1
169,-1,6/24/2018,B101,-1
170,1,6/25/2018,B101,-1
171,2,6/26/2018,B101,-1
172,3,6/27/2018,B101,-1
173,4,6/28/2018,B101,-1
174,5,6/29/2018,B101,-1
175,-1,6/30/2018,B101,-1
176,-1,7/1/2018,B101,-1
177,1,7/2/2018,B101,-1
178,-2,7/3/2018,B101,-1
179,-2,7/4/2018,B101,-1
180,4,7/5/2018,B101,-1
181,5,7/6/2018,B101,-1
182,-1,7/7/2018,B101,-1
183,-1,7/8/2018,B101,-1
184,1,7/9/2018,B101,-1
185,2,7/10/2018,B101,-1
186,3,7/11/2018,B101,-1
187,4,7/12/2018,B101,-1
188,5,7/13/2018,B101,-1
189,-1,7/14/2018,B101,-1
190,-1,7/15/2018,B101,-1
191,1,7/16/2018,B101,-1
192,2,7/17/2018,B101,-1
193,3,7/18/2018,B101,-1
194,4,7/19/2018,B101,-1
195,5,7/20/2018,B101,-1
196,-1,7/21/2018,B101,-1
197,-1,7/22/2018,B101,-1
198,1,7/23/2018,B101,-1
199,2,7/24/2018,B101,-1
200,3,7/25/2018,B101,-1
201,4,7/26/2018,B101,-1
202,5,7/27/2018,B101,-1
203,-1,7/28/2018,B101,-1
204,-1,7/29/2018,B101,-1
205,1,7/30/2018,B101,-1
206,2,7/31/2018,B101,-1
207,3,8/1/2018,B101,-1
208,4,8/2/2018,B101,-1
209,5,8/3/2018,B101,-1
210,-1,8/4/2018,B101,-1
211,-1,8/5/2018,B101,-1
212,1,8/6/2018,B101,-1
213,2,8/7/2018,B101,-1
214,3,8/8/2018,B101,-1
215,4,8/9/2018,B101,-1
216,5,8/10/2018,B101,-1
217,-1,8/11/2018,B101,-1
218,-1,8/12/2018,B101,-1
219,1,8/13/2018,B101,-1
220,2,8/14/2018,B101,-1
221,3,8/15/2018,B101,-1
222,4,8/16/2018,B101,-1
223,5,8/17/2018,B101,-1
224,-1,8/18/2018,B101,-1
225,-1,8/19/2018,B101,-1
226,1,8/20/2018,B101,-1
227,2,8/21/2018,B101,-1
228,3,8/22/2018,B101,-1
229,4,8/23/2018,B101,-1
230,5,8/24/2018,B101,-1
231,-1,8/25/2018,B101,-1
232,-1,8/26/2018,B101,-1
233,1,8/27/2018,B101,-1
234,2,8/28/2018,B101,-1
235,3,8/29/2018,B101,-1
236,4,8/30/2018,B101,-1
237,-2,1/1/2018,B103,0
238,-2,1/2/2018,B103,0
239,3,1/3/2018,B103,0
240,4,1/4/2018,B103,0
241,5,1/5/2018,B103,0
242,-1,1/6/2018,B103,0
243,-1,1/7/2018,B103,0
244,1,1/8/2018,B103,0
245,2,1/9/2018,B103,0
246,3,1/10/2018,B103,0
247,4,1/11/2018,B103,0
248,5,1/12/2018,B103,0
249,-1,1/13/2018,B103,0
250,-1,1/14/2018,B103,0
251,-2,1/15/2018,B103,0
252,2,1/16/2018,B103,0
253,3,1/17/2018,B103,0
254,4,1/18/2018,B103,0
255,5,1/19/2018,B103,0
256,-1,1/20/2018,B103,0
257,-1,1/21/2018,B103,0
258,1,1/22/2018,B103,0
259,2,1/23/2018,B103,0
260,3,1/24/2018,B103,0
261,4,1/25/2018,B103,0
262,5,1/26/2018,B103,0
263,-1,1/27/2018,B103,0
264,-1,1/28/2018,B103,0
265,1,1/29/2018,B103,0
266,2,1/30/2018,B103,0
267,4,2/1/2018,B103,0
268,5,2/2/2018,B103,0
269,-1,2/3/2018,B103,0
270,-1,2/4/2018,B103,0
271,1,2/5/2018,B103,0
272,2,2/6/2018,B103,0
273,3,2/7/2018,B103,0
274,4,2/8/2018,B103,0
275,5,2/9/2018,B103,0
276,-1,2/10/2018,B103,0
277,-1,2/11/2018,B103,0
278,1,2/12/2018,B103,0
279,2,2/13/2018,B103,0
280,3,2/14/2018,B103,0
281,4,2/15/2018,B103,0
282,5,2/16/2018,B103,0
283,-1,2/17/2018,B103,0
284,-1,2/18/2018,B103,0
285,1,2/19/2018,B103,0
286,2,2/20/2018,B103,0
287,3,2/21/2018,B103,0
288,4,2/22/2018,B103,0
289,5,2/23/2018,B103,0
290,-1,2/24/2018,B103,0
291,-1,2/25/2018,B103,0
292,1,2/26/2018,B103,0
293,2,2/27/2018,B103,0
294,4,3/1/2018,B103,0
295,5,3/2/2018,B103,0
296,-1,3/3/2018,B103,0
297,-1,3/4/2018,B103,0
298,1,3/5/2018,B103,0
