"time","B101","B103","B104","B107","B108","B109","B110","B111","B114","B115","B116","B117","B118","B119","B123","B124","B126","B129","B130","B131","B132","B135","B136","B138","B139","B141","B144","B145","B146","B147","B148","B149","B151","B152","B153","B155","B158","B159","B160","B165","B167","B170","B173","B177","B180","B181","B182","B184","B189","B196","B199","B200","B203","B302","B318","B320","B336","B362","B790","B002","B003","B006","B007","B008","B009","B010","B011","B012","B013","B014","B015","B017","B018","B020","B022","B024","B025","B026","B029","B030","B031","B032","B033","B035","B036","B038","B039","B040","B041","B045","B046","B047","B050","B051W","B051","B052","B054","B056","B057","B058","B059","B061","B064","B065","B066","B068","B071","B073","B074","B075","B076","B081","B084","B085","B086","B090","B091","B092","B093","B094","B095","B098","B099","B033B","B051D","B051F","B051F_C1","B051F_C2","B051F_C3","B060A","B061A","B080A","B172W","B195W"
"2018-02-01 00:00",55.92,378.19,195.79,26.1,41.69,36.37,43.32,120.74,67.49,25.19,2,80.25,42,47.6,44.62,37.72,586.21,651.36,74.91,134.49,185.94,226.07,169.65,688.74,116.52,23.13,389.05,50.8,1006.94,1044.23,0.09,103.46,166.89,7.62,309.72,40.68,15.11,86.99,1045.42,433.58,1312.51,245.99,620.16,46.48,526.01,1370.05,175.77,104.98,10000,11.93,71.97,2.96,22.83,17.61,10.45,18.59,25.98,14.74,553.25,99.71,64.34,87.36,18.51,2.7,25,66.6,24.25,65.15,27.3,33.47,198.25,965.11,171.28,42.74,56.5,40.82,5.06,1854.13,40.53,122.16,61,5.6,130.05,47.74,8.38,35.02,21.59,33.15,48.99,70.88,27.01,417.05,370.6,307.14,44.22,150.62,35.7,123,199.92,28.54,4,42,91.35,255.21,125.2,154.44,37,795.14,136.09,52.7,94.84,273.18,90.05,337.86,900.95,33.45,59.52,59.52,21.7,27.16,629.05,69.23,270.58,9.35,280.14,920.34,0,153,1,34.03,97.2,4,588.95,601.65
"2018-02-01 00:15",55.47,377.98,194.97,26.51,40.22,35.44,42.27,121.48,65.56,21.07,2,81.81,42,48.56,45.82,37.79,573.18,648.21,73.26,130.91,179.11,213.8,155.19,681.02,114.94,23.18,382.97,54.68,992.24,1044.09,0.09,100.31,172.9,5.36,312.94,37.23,14.95,86.74,1050.69,434.05,1295.8,241.94,602.16,46.03,517.83,1364.05,172.73,102.2,10000,12.12,72.01,2.99,19.49,17.79,10.16,18.04,25.67,13.16,556.34,99.19,64.75,89.71,18.75,2.71,24,64.96,23.93,65.17,28.17,33.44,195.76,945.46,160.11,37.16,54.9,38.76,4.95,1867.23,39.95,121.9,59.44,4.02,128.17,47.63,8.5,35.12,21.95,33.1,44.67,70.69,26.07,387.12,369.34,306.18,41.47,152.87,35.39,121,199.11,28.62,3.7,42.27,96.48,255.45,119.45,153.36,52,751.8,136.28,51.44,93.6,270.51,89.64,338.69,909.39,34.97,60.01,60.01,21.56,27.19,608.91,85.85,270.68,12.02,278.18,911.03,0,147,0,16.73,97.82,4,538.57,603.64
"2018-02-01 00:30",52.83,374.81,188.02,26.93,40.63,35.59,41.74,121.25,63.58,19.75,2,78.5,40,46.15,43.65,38.21,578.92,647.77,69.2,130.99,173.32,218.17,176.99,674.09,110.29,23.21,385.3,48.87,975.8,1037.65,0.09,93.28,167.72,2.6,317.81,38.27,14.9,90.21,1039.67,425.76,1295.69,242.03,625.15,46.95,518.86,1361.7,175.32,107.31,10000,13.23,72.07,3.01,16.48,18.19,12.34,17.59,23.86,12.31,544.52,98.74,66.1,82.49,18.78,2.71,25,64.59,24.81,65.49,27.83,32.91,194.79,954.85,167.7,42.58,57.05,35.59,4.89,1864.93,41.33,122.06,65.98,5.02,128.51,47.69,8.23,34.87,22.06,32.25,45.32,71.24,25.63,401.78,368.96,307.78,44.6,150.94,34.68,121,193.93,31.45,3.7,41.79,95.84,253.31,119.53,144.69,42,741.2,133.22,50.72,94.08,269.98,90.25,333.31,894.94,33.45,60.99,60.99,21.26,26.82,607.79,85.31,268.28,9.59,278.78,902.24,0,147,0,15.46,98.31,4,511.38,604.7
"2018-02-01 00:45",52.33,372.82,190.69,26.77,40.54,35.35,41.85,117.46,62.64,22.6,2,78.71,41,45.84,45.28,38.8,569.8,650.07,70.67,127.93,173.27,211.87,168.03,678.41,112.85,23.16,388.08,50.2,983.54,1037.28,0.08,96.21,178.98,5.53,306.09,36.68,14.45,86.5,1044.57,438.22,1295.44,240.37,617.13,54.1,495.72,1362,170.27,101.18,10000,12.09,71.74,3.02,19.41,15.93,10.03,17.45,23.46,15.27,552.19,97.43,67.64,84.28,18.98,2.72,25,63.31,24.6,66.14,26.97,32.04,185.51,944.02,166.52,38.33,54.43,37.21,4.93,1884.51,41.74,122.64,60.99,4.84,132.5,48.21,8.14,34.85,22.12,32.78,39.78,84.41,25.78,408.68,366.45,305.32,43.48,146.49,35.82,124,199.56,28.89,3.7,42.23,92.3,249.78,119.79,136.02,48,813.18,136.7,51.39,94.45,271.76,89.16,336.56,900.28,32.81,64.01,64.01,21.41,26.96,610.03,70.55,273.42,8.9,277.32,898.89,0,147,0,16.19,98.12,4,518.43,598.38
"2018-02-01 01:00",54.24,375.85,190.27,25.69,41.25,35.05,40.64,119.03,60.64,20.77,2,75.92,38,45.34,42.35,37.93,566.41,647.56,67.49,131.79,175.79,206.45,159.94,706.08,107.96,23.14,394.46,49.21,1001.09,1036.61,0.09,100.3,166.23,3.02,310.33,40.54,14.75,92.25,1038.78,429.61,1295.75,241.42,615.1,45.9,472.62,1364.74,171.64,106.34,10000,12.09,71.64,12.61,19.06,15.52,9.15,17.09,22.58,12.25,552.06,96.3,64.83,86.41,19.44,2.72,25,61.78,24.58,65.57,26.18,32.07,188.45,955.28,166.94,41.18,57.49,39.35,4.64,1746.66,40.47,122.22,60.57,5.65,127.12,48.33,8.28,35.39,21.9,33.69,43.78,77.42,25.97,445.98,368.16,303.36,40.59,141.89,37.59,122,199.84,28.39,3.5,41.67,90.23,243.84,136.31,140.4,52,730.28,136.36,51.24,92.2,271.37,86.35,338.76,891.74,31.47,63.79,63.79,21.16,28.36,608.55,61.55,270.22,8.9,277.36,898.07,0,147,0,15.06,97.48,4,505.28,598.03
"2018-02-01 01:15",54.9,374.42,183.57,25.14,39.75,35.36,39.65,119.45,61.43,23.76,2,74.69,41,47.69,46.23,37.42,567.83,644.05,67.19,130.73,164.22,211,179.95,692.58,95.29,23.17,390.58,50.89,981.71,1039.25,0.09,129.74,179.92,5.33,302.09,39.75,14.58,87.57,1016.69,424.67,1290.03,239.69,569.08,45.19,464.62,1357.5,169.53,108.14,10000,12.05,71.04,16.06,18.61,14.98,10.5,15.54,22.04,13.48,549.12,99.63,64.74,85.34,19.68,2.71,25,60.93,24.34,65.07,26.09,31.8,183.22,938.88,159.61,38.16,54.06,37.27,4.72,1865.86,40.02,122.05,59.88,4.77,114.87,48.97,8.36,35.01,22.32,33.28,42.19,71.02,27.33,395.27,368.28,302.36,41.13,138.37,35.42,120,196.87,30.03,3.5,41.74,87.5,245.23,127.22,139.98,40,650.69,137.86,58.42,91.28,269.52,85.8,335.6,904.15,31.89,61.47,61.47,20.78,27.17,609.18,59.68,269.27,8.62,277.36,899.59,0,148,0,16,98.97,4,513.42,600.42
"2018-02-01 01:30",50.76,373.17,182.36,25.39,39.23,35.23,39.15,118.2,61.12,20.74,2,73.03,37,47.48,43.27,39.72,560.37,646.92,64.94,128.78,157.04,201.44,164.07,664.38,94.53,23.22,379.41,46.91,999.18,1028.98,0.08,99.64,161.6,2.29,303.4,38.06,14.8,88.45,1016.96,429.47,1281.99,236.07,601.9,45.55,462.52,1353.9,170.13,103.92,10000,11.85,72.2,16.1,15.94,13.62,12.07,14.7,21.99,14.45,550.57,97.85,64.58,80.57,18.9,2.71,24,60.59,24.82,65.22,26.59,31.76,179.15,960.58,173.55,42.17,57.29,35.32,4.81,1855.26,39.57,122.5,59.14,4.94,112.12,49.15,8.46,34.96,22.17,32.8,48.5,70.82,27.19,397.11,368.76,303.65,41.23,135.95,36.48,123,194.91,28.49,3.6,42.09,89.57,245.47,132.24,143.17,37,434.14,139.02,50.44,90.68,270.06,84.77,335.1,897.41,31.22,59.33,59.33,20.44,25.18,607.67,82.11,269.14,8.63,277.65,896.47,0,148,1,13.31,99.62,4,496.3,598.65
"2018-02-01 01:45",50.77,373.21,187.46,24.89,39.05,34.88,38.82,118.02,58.45,21.38,2,69.25,37,45.98,45.05,37.53,566.44,644.45,63.78,129.68,157.09,208.19,164.84,698.67,97.57,23.11,377.16,48.26,970.26,1030.99,0.09,107.51,184.66,9.09,300.85,38.17,14.66,94.93,854.67,425.31,1286.88,237.45,618.31,53.18,467.3,1358,166.92,115.99,10000,12.18,71.3,16.43,22.04,12.47,10.78,14.18,20.91,11.25,552.24,96.97,64.5,81.55,18.46,2.72,24,58.56,23.82,65.34,25.21,30.52,181.32,959.37,158.23,38.14,54.62,36.2,4.87,1865.55,43.38,122.26,60.84,5.75,129.45,51.58,8.24,35.02,21.91,33.08,42.23,72.36,27.17,430.44,365.75,302.57,40.05,137.58,35.02,114,196.51,30.02,3.7,42.16,88.64,241.33,132.56,144.61,40,384.93,144.44,47.24,91.79,272.77,86.43,337.15,898.46,30.81,58.11,58.11,20.16,25.66,605.42,85.83,271.52,9.18,276.57,898.06,0,151,1,13.27,99.43,4,546.08,593.67
"2018-02-01 02:00",51.76,366.89,204.77,23.63,39.22,34.05,37.17,121.32,62.51,21.67,2,67.79,36,45.32,42.55,37.36,569.83,645.65,64.43,128.28,148.1,204.77,177.41,687.4,91.97,23.22,371.08,48.84,981.04,1031.5,0.08,97.21,168.03,5.69,300.23,41.85,14.63,87.29,855,426.03,1294.83,241.22,599.28,45.95,454.22,1348.32,169.28,95.63,10000,12.08,71.25,15.98,23.8,12.42,9.46,13.83,20.63,13.67,551.55,99.23,64.81,79.42,19.06,2.72,25,59.14,22.66,65.38,24.22,30.92,178.49,966.11,173.56,41.6,56.38,39.91,4.9,1862.41,40.95,122.44,60.89,4.57,126.72,47.16,8.1,34.81,21.83,33.01,44.49,82.67,26.76,421.59,368.47,305.04,44.66,133.26,30.8,121,191.62,30.98,3.9,41.93,82.78,232.49,143.09,134.71,43,389.74,135.11,48.6,88.33,270.57,87.39,335.31,892.51,30.73,61.62,61.62,20.62,24.99,606.81,80,268.98,7.62,278.04,897.53,0,148,0,14.18,99.37,4,534.25,597.79
"2018-02-01 02:15",53.93,367.95,208.28,23.31,38.41,32.6,36.45,117.56,61.72,19.47,2,66.31,34,42.78,45.25,40.12,565.04,642.72,61.65,123.86,143.95,207.29,157.99,673.9,95.65,23.17,373.49,45,975.05,1024.5,0.09,100.36,174.68,4.36,292.88,36.44,14.47,93.55,849.62,422.87,1284.41,236.42,616.26,46.51,446.31,1347.55,168.83,116.16,10000,12.03,71.48,16.08,28.43,12.5,8.17,14.87,21.38,11.49,551.16,96.72,66.63,74.53,17.49,2.72,25,60.59,21.87,64.8,24.02,32.99,175.89,981.53,159.7,39.46,54.12,37.59,4.79,1819.99,39.46,122.41,59.16,5.72,129.33,48.43,8.33,35.01,22.1,31.34,40.84,72.73,26.88,412.3,365.72,305.04,40.97,124.42,31.48,121,201.47,28.64,3.9,42.65,78.37,229.71,131.5,140.01,47,456.13,133.96,47.44,89.49,267.75,86.68,335.61,891.96,30.29,60.93,60.93,20.25,24.4,605.66,63.73,269.07,7.69,277.04,895.71,0,145,0,13.25,99.48,4,526.6,596.68
