"time","B101","B103","B104","B107","B108","B109","B110","B111","B114","B115","B116","B117","B118","B119","B123","B124","B126","B129","B130","B131","B132","B135","B136","B138","B139","B141","B144","B145","B146","B147","B148","B149","B151","B152","B153","B155","B158","B159","B160","B165","B167","B170","B173","B177","B180","B181","B182","B184","B189","B196","B199","B200","B203","B302","B318","B320","B336","B362","B790","B002","B003","B006","B007","B008","B009","B010","B011","B012","B013","B014","B015","B017","B018","B020","B022","B024","B025","B026","B029","B030","B031","B033","B035","B036","B038","B039","B040","B041","B045","B046","B047","B050","B051W","B051","B052","B054","B056","B057","B058","B059","B061","B064","B065","B066","B068","B071","B073","B074","B075","B076","B081","B084","B085","B086","B090","B091","B092","B093","B094","B095","B098","B099","B033B","B051D","B051F","B051F_C1","B051F_C2","B051F_C3","B060A","B061A","B080A","B172W","B195W"
"2018-05-01 00:00",59.19,376.38,221.63,24.6,39.04,33.42,33.62,126.93,70.65,23.57,1.01,87.78,34,44.37,40.4,32.52,570.79,641.04,86.82,119.39,170.38,202.46,173.89,680.96,65.23,22.55,381.49,67.18,795.26,994.4,0.08,56.96,151.59,2.95,277.86,34.09,15.21,79.79,1349.09,393.96,1214.72,207.94,240.86,48.93,530.5,1144.05,225.7,83.43,10000,8.51,85.83,3.79,13.48,13.48,15.64,23.32,35.05,18.27,536.03,92.84,69.65,97.99,22.38,3.49,24,67.03,23.8,87.56,27.11,33.52,205.81,487.96,152.38,42.16,55.69,32.05,4.57,1644.84,40.93,109.72,51.2,162.87,31.09,8.56,23.93,25.07,33.27,49.31,58.57,25.05,299.07,374.81,289.86,33.84,250.9,39.95,109,194.85,29.77,3.5,31.55,89,237.72,128.41,47.13,27,394.83,108.37,54.53,92.21,278.3,73.97,331.34,899.95,30.07,52.41,52.41,21.93,30.42,604.82,70.28,349.48,7.42,268.86,931.38,0,0,113,12.56,94.34,0,387.84,598.86
"2018-05-01 00:15",57.26,374.61,220.67,24.44,38.55,33.22,32.72,128.91,66.86,21.5,1.01,87.25,34,45.14,43.76,32.54,574.41,642.24,85.18,115.96,168.98,208.1,174.23,671.95,59.72,22.57,388.38,60.33,798.95,985.13,0.08,58.93,172.13,2.87,280.46,36.21,15.17,92.32,1400.1,392.82,1216.59,202.76,225.86,40.96,510.21,1145.2,223.4,86.28,10000,10.14,74.23,2.97,11.55,13.81,14.51,21.67,32.08,18.45,543.45,90.2,70.01,96.14,21.94,3.5,24,67.17,22.92,79.34,26.64,33.77,199.12,490.68,146.8,41.05,56.38,29.46,4.51,1658.07,39.47,109.95,52.05,163.91,34.37,8.52,23.89,25.95,34.93,50.92,62.72,25.54,334.09,369.07,289.66,34.05,246.31,37.72,108,192.15,30.23,3.7,31.87,89.61,232.5,141.26,44.77,35,391.11,112.86,56.17,93.04,278.27,73.59,338.9,900.41,30.18,50.35,50.35,21.29,30.66,609.84,72.7,353.16,9.62,269.66,920.28,0,0,105,13.6,95.65,0,381.3,598.88
"2018-05-01 00:30",58.86,374.7,216.41,23.26,38.39,32.09,31.72,129.92,66.12,21.38,1.01,86.73,33,42.54,40.77,32.24,567.84,639.89,83.49,118.31,165.62,205.38,169.37,676.9,59.48,22.58,386.88,62.07,791.04,985.44,0.08,51.49,162.13,2.97,273.97,36.18,15.27,90.22,1399.63,395.93,1220.29,199,219.86,41.01,497.8,1140.71,218.49,76.6,10000,8.6,87.4,2.59,10.13,13.52,17,21.4,30.39,18.34,539.11,93.3,71.1,96.16,21.25,3.5,24,68.45,22.55,90.48,25.3,33.89,191.31,484.71,148.62,41.1,56.97,29.31,4.57,1548.85,38,109.7,60.71,159.61,31.3,8.31,23.67,22.86,32.23,49.03,64.04,26.72,295.88,367.69,288.05,36.53,240.4,37.95,107,187.6,29.92,3.9,31.68,87.11,234.1,137.66,43.52,18,402.05,105.78,52.22,90.69,279.17,73.09,339.96,892.54,31.34,50.13,50.13,20.84,29.39,600.83,65.56,349.67,7.32,268.05,877.51,0,0,105,12.57,95.56,0,391.9,600.73
"2018-05-01 00:45",58.89,372.75,206.25,23.14,37.78,31.81,31.32,126.09,70.26,24.07,1.01,83.42,34,45.53,43.94,32.02,563.27,640.39,82.3,125.37,163.29,203.7,174.3,672.67,60.98,22.51,390.05,52,803.07,1008.43,0.08,51.91,165.05,4.18,278.69,36.53,15.18,78.91,1266.52,391.04,1219.52,203.8,232.86,41.13,488.12,1137.26,214.02,83.89,10000,8.51,71.09,3,14.89,14.08,16.85,21.05,25.25,16.41,532.65,92.97,73.84,91.55,20.78,3.51,24,67.8,22.13,85.01,26.13,33.79,194.41,481.99,144.42,40.89,54.82,30.25,4.82,1487.02,37.13,109.72,51.15,160.05,31.74,8.44,23.8,22.23,32.49,48.91,62.83,27.58,305.57,365.9,286.51,34.5,238.05,37.3,109,190.84,29.01,3.7,31.07,86.07,231.82,137.34,48.62,27,410.89,108.38,56.34,88.56,276.94,73.24,333.14,891.45,30.56,50.84,50.84,20.75,29.21,592.47,50.62,351.77,7.91,265.51,862.97,0,0,102,12.47,95.67,0,392.15,598.36
"2018-05-01 01:00",56.58,372.79,205.74,23.07,37.18,31.08,31.33,129.16,68.08,21.12,1.01,81.25,33,45.2,40.66,34.2,576.83,634.84,83.11,122.15,164.96,209.91,168.62,672.11,62,22.56,385.68,60.4,797.07,988.58,0.08,57.68,158.69,3.36,277.94,42.39,15.22,87.33,1219.55,389.58,1216.06,197.46,827.85,48.99,473.4,1140.69,198.12,77.13,10000,8.53,81.55,3.17,14.51,14.64,15.34,19.65,24.55,16.57,536.07,90.14,70.3,89.4,20.38,3.52,25,66.68,22.24,89.56,24.99,33.08,196.44,487.18,149.77,41.55,58.81,30.74,4.44,1419.66,38.17,111.1,55.89,163.51,30.38,8.46,23.58,22.63,32.82,48.19,61.33,26.32,336.51,367.03,285.61,34.32,235.38,37.54,108,185.53,29.2,3.9,31.97,84.46,233.69,131.32,46.25,28,409.95,102.86,53.6,93.62,276.88,73.14,330.5,891.09,29.78,49.92,49.92,20.83,29.66,597.51,73.16,351.32,8.67,266.61,860.73,0,0,108,13.84,96.02,0,386.7,595.55
"2018-05-01 01:15",56.58,371.99,201.16,22.87,36.59,30.96,30.61,126.15,66.65,21.41,1.01,81.17,31,44.03,40.63,33.42,558.05,625.79,84.69,119.49,163.41,198.62,173.82,684.73,53.77,22.54,381.97,56.58,774.41,985.47,0.08,49.67,174.3,2.46,272.62,35.48,14.95,79.34,1169.8,389.3,1212.37,207.4,796.85,42.2,439.63,1142.35,170.88,90.26,10000,8.56,66.7,3.03,9.96,12.48,12.08,21.15,24.29,15.55,541.8,92.54,69.38,91.21,20.51,3.51,24,67.59,22.66,80.23,25.52,33.26,191.48,494.59,146.23,41.34,55.22,31.91,4.41,1557.46,41.08,111.62,51.55,156.47,33.03,8.38,23.61,22.57,30.88,49.75,60.43,26.75,294.05,365.71,286.1,36.17,230.44,37.89,107,186.63,29.48,4.3,31.62,81.41,233.16,119.11,44.8,29,398.93,109.09,57.46,90.53,272.92,72.64,333.48,890.46,28.69,49.26,49.26,19.84,29.3,600.85,71.28,352.06,7.46,265.1,859.07,0,0,101,10.34,96.23,0,378.21,597.57
"2018-05-01 01:30",58.16,374.38,201.15,22.54,36.57,30.09,30.17,126.49,68.28,23.5,1.01,79.78,30,41.26,43.15,33.43,568.61,636.75,83.52,120.97,160.56,207.81,167.45,683.07,58.01,22.53,380.22,54.78,782.49,988.07,0.08,53.66,150.72,3.3,277.51,34.42,15.05,79.22,1230.07,386.06,1214.12,209.1,212.85,41.19,434.23,1144.58,171.92,85.25,10000,8.63,81,2.88,11.55,12.46,11.87,19.68,22.25,15.02,527.92,90.14,69.49,88.47,21.07,3.5,24,64.01,21.07,72.57,27.88,31.42,185.34,485.43,144.53,40.49,60.52,29.6,4.37,1633.43,38.85,110.24,53.16,154.69,32.27,8.67,23.67,22.25,33.03,49.83,69.64,26.39,330.3,359.5,289.03,35.81,226.47,37.71,107,187.28,29.36,3.7,32.32,84.16,225.82,137.75,47.43,28,409,109.81,63.73,89.95,271.75,73.22,328.12,891.46,28.05,48.55,48.55,19.87,30.06,605.62,65.46,347.57,8.14,266.03,855.92,0,0,104,10.14,95.8,0,365.48,595.41
"2018-05-01 01:45",57.55,372.03,197.92,21.96,36.07,29.73,29.73,131.06,66.16,20.14,1.01,78.18,29,39.85,39.51,33.02,561.23,629.63,82.09,124.84,161.56,201.46,172.64,674.78,54.23,22.49,375.11,58.26,792.12,989.1,0.08,53.35,183.24,3.68,276.03,35.83,14.89,99.89,1238.08,393.01,1226.13,211.17,206.86,41.43,421.77,1135.12,169.44,77.75,10000,8.44,66.16,3.12,11.11,12.75,18.5,19.58,22,17.44,538.2,89.92,69.54,86.93,19.82,3.51,23,62.99,21.63,69.64,26,31.5,184.51,487.98,143.92,41.37,55.61,29.06,4.55,1586.83,36.95,110.03,51.41,157.14,32.36,8.68,23.71,22.34,31.63,46.54,64.68,27.07,329.5,361.41,291.98,36.53,224.36,36.71,108,189.94,29.08,4.5,32.56,82.5,222.11,127.65,49.27,28,376.95,108.82,54.71,92.84,272.13,73.69,336.99,890.96,28.46,48.47,48.47,19.9,29.2,607.42,49.81,352.21,8.15,266.98,861.17,0,0,104,11.58,95.58,0,369.77,594.04
"2018-05-01 02:00",60.05,372.67,198.75,21.71,35.86,29.24,28.99,130.08,62.26,20.47,1.01,78.67,29,40.27,41.11,33.19,563.5,629.85,80.65,124.72,158.9,206.75,162.21,680.66,53.84,22.57,376.36,57.44,785.34,1002.34,0.08,52.89,168.68,3.06,272.28,34.94,13.19,78.92,1236.29,398.52,1224.37,200.18,202.86,47.88,419.1,1137.54,170.87,86.2,10000,8.75,79.21,3.05,17.26,10.52,14.26,20.23,21.63,13.1,530.05,90.02,69.28,86.59,19.76,3.52,24,62.69,20.23,71.56,24.62,31.04,189.15,492.19,144.33,40.83,57.63,29.13,4.51,1376.76,39.28,110.4,50.53,158.72,31.14,8.53,23.44,22.19,32.24,49.46,61.44,27.07,290.45,360.33,287.19,38.99,223.45,37.9,107,185.23,28.99,3.7,32.12,80.22,221.36,134.34,44.75,27,400.12,108.07,55.37,91.01,274.03,73.69,332.58,890.1,27.83,45.33,45.33,19.38,29.18,606.48,71.92,352.87,7.38,265.19,860.97,0,0,113,10.13,95.51,0,371.95,583.79
"2018-05-01 02:15",59.66,369.21,199.68,21.78,35.87,29.44,29.4,124.43,62.88,22.53,1.01,76.5,29,40.56,40.41,33.4,565.55,630.01,79.44,121.19,155.32,204.69,177.11,665.65,56.51,22.62,372.37,54.34,781.63,1002.66,0.09,52.57,183.58,2.67,263.72,34.6,13.3,74.12,1192.8,387.9,1235.25,203.09,223.86,41.9,407.89,1139.25,165.83,79.15,10000,8.66,74.14,2.78,12.09,11.79,12.21,19.16,21.25,16.06,526.14,89.43,69.42,84.41,19.52,3.52,24,61.63,21.19,59.54,24.85,29.98,184.7,481.9,143.93,41.17,54.75,30.82,4.75,1410.08,40.42,112.37,50.91,159.43,31.76,9.36,23.56,22.82,32.25,46.14,65.08,26.13,315.27,361.34,283.56,35.13,220.96,35.42,107,184.6,28.95,3.7,31.59,76.65,223.03,135.14,48.73,35,401.59,108.05,53.58,90.69,274.96,73.62,327.87,889.12,26.76,44.26,44.26,19.27,28.76,613.26,72.81,349.69,7.38,265.56,861.08,0,0,107,10.06,95.91,0,379.97,596.54
