Unnamed: 0,B101,B103,B104,B107,B108,B109,B110,B111,B114,B115,B116,B117,B118,B119,B123,B124,B126,B129,B130,B131,B132,B135,B136,B138,B139,B141,B144,B145,B146,B147,B148,B149,B151,B152,B153,B155,B158,B159,B160,B165,B167,B170,B173,B177,B180,B181,B182,B184,B189,B196,B199,B200,B203,B302,B318,B320,B336,B362,B790,B002,B003,B006,B007,B008,B009,B010,B011,B012,B013,B014,B015,B017,B018,B020,B022,B024,B025,B026,B029,B030,B031,B032,B033,B035,B036,B038,B039,B040,B041,B045,B046,B047,B050,B051W,B051,B052,B054,B056,B057,B058,B059,B061,B064,B065,B066,B068,B071,B073,B074,B075,B076,B081,B084,B085,B086,B090,B091,B092,B093,B094,B095,B098,B099,B033B,B051D,B051F,B051F_C1,B051F_C2,B051F_C3,B060A,B061A,B080A,B172W,B195W
4/4/2018,1,0,1,0,3,0,0,1,1,1,4,0,4,0,1,1,1,0,0,0,3,1,0,0,4,0,0,1,0,0,4,2,2,0,1,2,2,4,4,0,0,2,4,1,4,0,3,2,0,4,4,4,2,2,4,4,2,1,0,1,0,0,0,4,3,0,0,1,0,1,0,0,1,0,0,1,1,4,1,1,1,1,4,1,1,1,1,4,2,0,3,4,0,2,0,4,0,0,1,1,1,1,0,0,2,4,4,4,2,0,0,1,0,0,0,0,0,0,0,0,4,3,4,0,0,4,4,4,4,0,4,1,3,
4/5/2018,1,0,1,0,4,0,0,0,0,0,4,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,4,4,1,2,1,1,2,0,0,2,4,1,1,0,0,2,0,2,4,4,4,1,1,1,1,1,0,1,4,0,0,4,2,0,0,1,0,0,0,3,1,0,0,1,1,0,1,1,1,0,4,1,1,1,1,0,2,0,0,0,0,2,2,4,0,1,1,2,1,1,0,0,4,4,1,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,2,2,
4/6/2018,1,0,1,0,0,0,0,1,0,0,4,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,0,0,2,2,2,1,1,0,0,2,4,1,0,0,1,2,0,2,4,4,4,0,4,3,1,1,0,1,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,2,1,1,1,0,0,2,0,0,0,0,2,0,4,0,1,1,1,1,3,0,0,4,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,1,0,
4/9/2018,1,0,1,0,3,0,0,0,0,1,4,0,3,3,1,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,4,0,4,4,1,2,2,0,2,0,0,2,4,1,3,0,0,2,0,3,4,4,4,4,1,0,1,1,0,1,0,0,0,4,3,3,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,0,0,0,2,1,4,0,0,1,1,1,1,0,0,4,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,2,0,
4/10/2018,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,4,1,2,2,1,2,0,0,2,4,1,0,0,0,2,0,2,4,4,4,1,0,1,0,1,0,1,0,0,0,4,4,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,4,2,1,1,1,1,1,1,0,0,0,2,2,3,0,0,1,2,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,4,4,0,4,2,0,
4/11/2018,1,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,4,4,2,2,2,0,1,0,0,2,4,1,0,0,1,1,0,2,4,4,4,0,3,0,2,1,0,1,0,0,0,4,3,0,0,1,0,0,0,0,1,0,0,1,2,1,1,0,1,0,1,1,1,1,0,0,2,0,0,0,0,2,0,4,0,0,1,2,1,1,0,0,4,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,4,2,0,
4/12/2018,1,0,1,0,0,0,0,0,1,0,4,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,4,0,2,2,2,1,0,0,0,2,4,1,0,0,2,2,0,4,4,4,4,1,1,1,1,1,0,1,0,0,0,4,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,4,0,4,2,0,
4/13/2018,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,4,1,1,1,1,0,0,0,0,2,4,1,0,0,0,1,0,3,4,4,4,1,0,1,1,1,0,1,0,0,0,4,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,0,2,0,4,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2,0,4,1,0,
6/21/2018,1,0,1,0,0,0,0,0,1,1,4,0,4,0,1,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,4,0,4,1,2,1,2,0,0,0,2,1,1,0,0,0,2,0,4,4,4,2,0,0,0,0,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,2,0,3,0,0,1,4,1,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,1,0,
6/22/2018,1,0,1,0,0,0,0,0,0,0,4,0,3,0,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,2,4,2,2,1,2,0,0,0,2,1,1,0,0,0,2,0,4,4,4,2,1,1,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,1,0,
6/25/2018,1,0,1,0,0,0,0,0,1,1,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,4,4,2,2,2,2,0,0,0,2,2,1,0,0,0,2,0,2,4,4,2,3,0,0,0,1,0,1,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,4,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,1,0,
6/26/2018,1,0,1,0,0,0,0,0,0,1,4,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,4,2,2,0,2,0,0,0,2,2,1,0,0,0,1,0,4,4,4,2,1,1,0,1,1,0,1,1,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,2,0,4,0,0,1,1,1,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,1,4,2,0,
6/27/2018,1,0,1,0,0,0,0,0,0,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,2,1,1,1,0,0,0,2,2,1,0,0,0,1,0,4,4,4,2,1,0,0,0,1,0,1,0,0,0,4,2,0,0,0,2,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,2,0,4,0,0,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,4,0,
6/28/2018,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,2,2,1,2,0,0,0,2,0,1,0,0,0,4,0,2,4,4,2,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,1,0,
