"time","B101","B103","B104","B107","B108","B109","B110","B111","B114","B115","B116","B117","B118","B119","B123","B124","B126","B129","B130","B131","B132","B135","B136","B138","B139","B141","B144","B145","B146","B147","B148","B149","B151","B152","B153","B155","B158","B159","B160","B165","B167","B170","B173","B177","B180","B181","B182","B184","B189","B196","B199","B200","B203","B302","B318","B320","B336","B362","B790","B002","B003","B006","B007","B008","B009","B010","B011","B012","B013","B014","B015","B017","B018","B020","B022","B024","B025","B026","B029","B030","B031","B033","B035","B036","B038","B039","B040","B041","B045","B046","B047","B050","B051W","B051","B052","B054","B056","B057","B058","B059","B061","B064","B065","B066","B068","B071","B073","B074","B075","B076","B081","B084","B085","B086","B090","B091","B092","B093","B094","B095","B098","B099","B033B","B051D","B051F","B051F_C1","B051F_C2","B051F_C3","B060A","B061A","B080A","B172W","B195W"
"2018-04-01 00:00",54.21,328.62,193.12,26.64,37.34,31.59,39.04,120.08,57.36,24,2,84.21,34,56.1,40.04,35.07,557.38,628.42,86.64,125.42,159.13,210.56,160.69,647,82.48,22.66,385.61,55.16,721.47,1032.28,0.08,68.76,166.38,2.34,258.06,34.1,14.39,95.98,1411.41,391.18,1207.31,216.33,741.91,43.48,470.36,1121.55,170.27,63.59,10000,11.97,75.46,2.9,17.03,12.58,17.39,15.24,21.74,11.42,528.74,87.96,56.54,104.06,18.98,3.69,25,65.36,23.3,61.8,26.35,34.93,182.6,574.15,150.31,39.29,56.43,27.31,4.33,1268.04,39.81,115.84,52.16,153.64,34.7,8.87,23.37,24.35,29.64,39.16,72.9,23.52,328.98,371.37,298.02,40.86,230.84,33.81,107,174.55,29.89,3.6,36.81,82.04,222.01,127.53,57.86,29,436.55,110.41,47.1,89.46,270,73.31,330.97,875.61,28.72,49.94,49.94,22.09,27.46,592.78,57.35,286.89,7.51,274.02,896.53,0,0,114,10.59,98.26,0,389.71,565.97
"2018-04-01 00:15",52.57,338.07,191,26.21,37,31.46,38.84,122.39,57.95,23.26,2,83.09,32,55.49,41.61,34.92,549.44,629.87,84.46,124.85,155.84,202.13,164.61,668.51,73.62,22.64,376.04,52.79,782.19,1039.3,0.08,68.56,159.49,2.33,271.49,31.78,14.39,90.04,1415.99,390.1,1217.54,214.97,725.91,44.05,462.25,1115.05,173.59,90.11,10000,13.27,76.91,2.94,14.13,13,15.22,14.38,24.96,12.96,526.18,84.54,68.46,99.78,18.89,3.7,24,62.9,22.75,61.39,24.55,33.3,176.51,581.12,150.08,37.31,54.95,29.68,4.3,1333.94,37.63,115.96,53.87,153.74,35.35,8.78,23.58,24.31,30.38,40.83,72.61,23.88,338.65,370.69,299.49,38.73,230.97,34.92,114,183.95,29.7,3.9,36,83.25,223.65,139.84,63.11,29,465.69,111.6,50.05,87.7,269.09,73.35,335.04,873.01,28.54,48.55,48.55,21.11,27.22,595.21,71.26,286.08,7.54,275.49,894.75,0,0,110,10.36,99.96,0,412.65,568.58
"2018-04-01 00:30",52.76,339.68,185.85,26.27,36.73,31.51,38.11,121.28,60.67,24.26,2,84.98,31,54.5,42.81,35.38,558.26,626.16,85.35,124.86,153.88,213.54,153.9,666.09,82.45,22.59,375.6,56.08,809.24,1017.8,0.08,67.68,163.17,2.27,252.84,35.19,14.4,104.09,1396.03,388.3,1206.96,231.54,211.91,42.69,469.53,1101.16,177.02,58.16,10000,11.83,75.69,2.77,16.69,13.08,16.13,14.43,26.42,12.65,526.06,83.58,59.28,98.53,18.87,3.7,24,60.67,21.9,61.86,26.24,31.53,179.79,589.77,151.63,39.64,60.84,31.36,4.51,1408.42,38.96,116.45,52.38,150.2,34.6,8.94,23.22,24.24,29.15,41.02,74.02,23.31,397.93,369.71,298.36,37.8,235.39,31.11,112,183.53,30.04,3.7,36.18,82.36,221.86,144.15,53.48,28,442.42,105.2,47.25,91.1,262.58,73.02,345.12,877.57,27.61,48.25,48.25,20.57,26.43,594.84,58.96,285.23,8.79,274.36,902.19,0,0,112,10.38,98.9,0,382.72,562.92
"2018-04-01 00:45",57.82,340.76,185.92,26.04,36.36,30.97,37.99,116.01,57.66,22.36,2,82.03,32,54.23,40.36,35.65,551.02,626.81,81.39,124,151.07,203.85,166.75,656.04,78.07,22.64,383.99,53.11,744.09,1018.51,0.08,71.28,161.91,2.24,257.02,34.46,14.56,97.61,1230.08,388.29,1205.45,244.88,198.92,49.45,458.15,1104.16,173.57,76.44,10000,11.79,75.71,2.88,13.67,11.43,15.1,15.22,24.95,11.39,524.54,84.15,58.93,97.46,19.65,3.7,25,60,22.82,59.1,26.05,31.66,180.31,565.02,151,36.61,54.87,27.21,4.52,1348.39,38.67,116.57,50.1,148.56,34.17,9.4,25.01,23.99,30.36,37.96,70.47,23.93,334.75,367.77,292.96,37.46,224.77,33.22,115,179.73,30.73,3.6,35.81,79.98,217.29,141.96,57.96,34,414.9,109.48,48.14,89.63,264.19,72.26,334.55,871.37,27.97,47.28,47.28,22.03,26.12,596.25,71.86,286.8,7.6,273.96,895.46,0,0,110,10.94,99.92,4,400.97,564.86
"2018-04-01 01:00",51.95,329.13,187.95,25.16,36.12,30.76,37.74,114.95,58.72,23.9,2,82.43,32,52.1,43.14,34.98,547.73,632.56,79.67,123.49,147.4,206.39,147.9,657.99,87.17,22.69,377.05,54.57,786.98,1021.45,0.08,72.6,169.58,3.17,260.62,34.53,14.46,88.37,1214.92,388.62,1204.56,236.49,207.92,43.17,440.59,1106.94,172.22,78.54,10000,11.9,75.21,2.81,16.61,11.43,12.52,14.56,26.53,11.79,525.99,86.49,67.93,91.88,20.14,3.7,25,60.21,22.23,61.49,24.88,31.76,177.04,587.57,150.09,40,58.11,27.1,4.59,1298.73,38.26,117.08,56.86,153.18,34.52,9.47,23.17,24.14,29.54,40.23,71.03,23.68,327.37,367.37,296.15,34.9,225.11,34.03,115,182.41,29.33,3.8,36.56,77.11,216.83,140.84,68.09,35,467.98,114.55,48.11,88.32,264.58,72.05,340.47,873.68,27.89,47.69,47.69,23.54,28.22,593.42,58.69,296.93,8.65,275.15,896.34,0,0,108,9.97,100.25,0,377.58,567.55
"2018-04-01 01:15",52.92,326.66,177.83,25.25,35.98,30.04,37.07,120.26,60.08,21.58,2,80.5,32,55.2,42.12,34.47,548.79,624.92,81.65,121.23,146.42,208.01,172,655.61,84.37,22.66,371.05,55.28,751.27,1028.61,0.08,69.24,166.22,2.81,252.08,31.93,14.49,85.78,1212.51,385.88,1204.25,233.17,202.91,44.75,454.7,1114.62,171.23,64.63,10000,11.86,76.35,2.77,13.99,11.62,13.21,15.61,25.82,11.84,526.76,85.81,56.82,96.32,18.67,3.71,25,59.05,21.46,58.11,24.56,30.47,177.34,590.15,150.17,36.14,54.86,27.81,4.68,1245.97,40.24,117.82,50.6,151.89,34.56,8.76,23.5,24.67,29.89,39.78,74.41,23.09,351.99,369.79,295.51,34.39,217.57,30.46,114,179.95,29.78,3.7,36.24,77.74,216.59,139.17,63.57,35,422.03,105.68,46.29,88.25,267.31,73.71,358.87,872.62,27.17,48.99,48.99,22.51,27.93,591.34,67.32,299.31,7.75,275.51,901.39,0,0,109,10.32,100.78,0,394.32,562.58
"2018-04-01 01:30",53.56,325.29,173.43,25.07,35.96,29.56,36.75,120.65,62.21,24.3,1,79.99,30,53.26,39.84,36.12,543.71,623.09,82.95,123.34,148.54,199.52,150.96,658.29,87.42,22.68,370.33,51.35,768.19,1042.89,0.08,69.16,150.16,2.36,257.33,36.15,14.35,93.86,1231.81,383.71,1203.91,213.35,262.91,48.05,445.27,1105.54,166.39,65.97,10000,11.84,74.84,3.14,12.5,10.48,10.81,13.32,23.38,11.97,525.11,84.26,70.94,90.83,18.52,3.71,24,59.5,20.63,52.53,24.62,31.33,174.82,580.25,151.79,39.63,55.09,29.42,4.41,1243.65,37.82,118.15,52.56,151.53,34.17,8.79,23.46,24.85,29.41,37.95,72.7,23.35,367.17,371.29,295.19,34.86,215.04,29.61,114,183.45,31.34,4.6,39.21,75.55,217.2,134.11,60.53,45,453.27,107.86,45.49,86.7,263.85,74.03,359.4,868.01,27.27,52.56,52.56,21.7,26.94,590.39,63.09,302.89,7.72,276.19,898.46,0,0,115,11.06,100.89,0,405.67,564.01
"2018-04-01 01:45",55.78,325.96,171.6,25.77,35.33,29.39,35.48,117.34,58.77,21.06,2,78.51,29,51.77,42.72,36.52,553.5,627.36,78.9,119.39,146.41,209.15,164.02,640.39,81.08,22.67,380.79,55.42,751.39,1034.84,0.08,97.14,171.76,2.3,253.23,37.39,14.38,86.33,1228.32,386.44,1199.87,219.54,759.91,42.21,443.63,1104.25,164.38,70.15,10000,14.79,75.84,2.81,13.03,10.58,14.81,14.39,19.72,11.74,525.75,84.22,64.04,93.23,18.69,3.71,25,57.56,20.6,51.88,24.03,29.68,174.37,588.43,150.28,39.49,56.6,30.12,4.4,1341.07,38.52,119.42,51.19,149.64,34.74,8.63,23.42,24.29,30.74,39.26,74.97,22.53,332.53,377.67,294.15,36.74,210.1,29.12,117,182.44,28.86,3.8,37.75,73.92,214.24,128.13,55.21,35,411.28,110.51,57.97,84.21,264.62,73.53,357.48,875.04,27.36,52.21,52.21,21.52,26.39,591.57,56.29,308.92,7.45,275.15,894.41,0,0,106,10.17,99.16,0,359.5,562.65
"2018-04-01 02:00",53.66,333.17,165.69,25.63,35.03,29.18,36.46,117.27,56.3,25.09,1,79.03,31,52.02,38.15,35.01,547.19,621.54,79.3,118.68,143.51,205.7,165.53,654.66,84.59,22.67,377.36,53.57,763.9,1012.62,0.08,70.45,173.6,2.27,256.62,32.28,14.4,82.93,1212.26,387.65,1195.59,216.92,735.9,49.24,435.7,1105.52,166.75,78.07,10000,11.95,74.95,2.79,11.91,10.85,10.97,14.47,22.47,10.2,525.68,83.34,54.97,89.62,18.46,3.7,25,56.85,20.63,57.67,23.92,29.29,170.5,588.43,148.75,36.4,57.09,27.28,4.47,1297.68,37.2,118.02,49.93,152.58,34.31,8.98,23.44,24.39,28.98,39.23,70.79,22.24,336.73,371.74,294.48,32.24,209.25,30.45,114,188.15,27.6,4,37.85,73.53,214.46,124.31,58.11,35,401.46,104.37,48.86,88.34,263.54,74.41,347.48,872.14,27.15,51.14,51.14,20.75,25.94,591.98,67.88,307,7.87,275.48,889.93,0,0,109,9.94,99.03,0,377.38,553.84
"2018-04-01 02:15",53.42,335.16,163.4,24.86,34.9,28.91,35.53,120.52,56.97,21.69,1,77.33,31,50.33,40.29,34.37,545.21,623.14,79.53,119.83,146.72,204.22,153.44,658.13,90.81,22.66,369.54,53.36,778.52,1021.39,0.08,67.54,163.64,2.32,254.37,32.99,14.94,92.97,1224.05,385.09,1201.3,229.65,197.91,42.78,442.65,1105.4,162.16,67.85,10000,11.82,76.93,2.97,19.22,10.79,12.05,13.52,18.63,12.87,524.82,83.4,68.93,89.63,17.98,3.7,24,55.95,19.85,52.88,23.54,28.4,166.27,588.69,148.54,38.95,53.13,27.63,4.61,1267.49,40.88,117.63,49.85,148.46,35.68,9.09,23.34,24.18,31.49,39.98,70.28,23.33,371.95,368.43,295.36,33.56,209.69,29.17,114,183,30.24,3.7,38.04,71.88,208.42,132.39,58.54,35,397.79,111.88,45.46,87.67,268.78,74.46,327.71,875.04,26.35,50.36,50.36,21.53,25.43,599.02,56.79,328.64,7.88,276.36,891.01,0,0,110,11.13,98.88,0,385.86,559.23
